column,dtype,non_null,missing,n_unique
meds_antiinfectives,float64,560486,0,4
meds_antiinfectives/miscellaneous,float64,560486,0,4
meds_antineoplastics,float64,560486,0,5
meds_antiparkinsondrugs,float64,560486,0,8
meds_antiplateletdrugs,float64,560486,0,5
meds_antivirals,float64,560486,0,8
meds_autonomicdrugs,float64,560486,0,5
meds_biologicals,float64,560486,0,3
meds_blood,float64,560486,0,3
meds_cardiacdrugs,float64,560486,0,7
meds_cardiovascular,float64,560486,0,10
meds_cnsdrugs,float64,560486,0,9
meds_colonystimulatingfactors,float64,560486,0,4
meds_contraceptives,float64,560486,0,3
meds_cough/coldpreparations,float64,560486,0,5
meds_diagnostic,float64,560486,0,4
meds_diuretics,float64,560486,0,6
meds_eentpreps,float64,560486,0,11
meds_elect/caloric/h2o,float64,560486,0,7
meds_gastrointestinal,float64,560486,0,15
meds_herbals,float64,560486,0,7
meds_hormones,float64,560486,0,6
meds_immunosuppressants,float64,560486,0,6
meds_investigational,float64,560486,0,2
"meds_miscellaneousmedicalsupplies,devices,non-drug",float64,560486,0,10
meds_musclerelaxants,float64,560486,0,6
meds_pre-natalvitamins,float64,560486,0,4
meds_psychotherapeuticdrugs,float64,560486,0,11
meds_sedative/hypnotics,float64,560486,0,5
meds_skinpreps,float64,560486,0,11
meds_smokingdeterrents,float64,560486,0,4
meds_thyroidpreps,float64,560486,0,5
meds_unclassifieddrugproducts,float64,560486,0,9
meds_vitamins,float64,560486,0,11
n_surgeries,float64,560486,0,37
cc_abdominalcramping,object,557901,2585,2
cc_abdominaldistention,object,557901,2585,3
cc_abdominalpain,object,557901,2585,3
cc_abdominalpainpregnant,object,557901,2585,3
cc_abnormallab,object,557901,2585,3
cc_abscess,object,557901,2585,2
cc_addictionproblem,object,557901,2585,2
cc_agitation,object,557901,2585,2
cc_alcoholintoxication,object,557901,2585,3
cc_alcoholproblem,object,557901,2585,3
cc_allergicreaction,object,557901,2585,3
cc_alteredmentalstatus,object,557901,2585,3
cc_animalbite,object,557901,2585,2
cc_ankleinjury,object,557901,2585,3
cc_anklepain,object,557901,2585,2
cc_anxiety,object,557901,2585,3
cc_arminjury,object,557901,2585,2
cc_armpain,object,557901,2585,3
cc_armswelling,object,557901,2585,2
cc_assaultvictim,object,557901,2585,3
cc_asthma,object,557901,2585,3
cc_backpain,object,557901,2585,3
cc_bleeding/bruising,object,557901,2585,3
cc_blurredvision,object,557901,2585,2
cc_bodyfluidexposure,object,557901,2585,3
cc_breastpain,object,557901,2585,2
cc_breathingdifficulty,object,557901,2585,2
cc_breathingproblem,object,557901,2585,2
cc_burn,object,557901,2585,2
cc_cardiacarrest,object,557901,2585,2
cc_cellulitis,object,557901,2585,2
cc_chestpain,object,557901,2585,3
cc_chesttightness,object,557901,2585,3
cc_chills,object,557901,2585,2
cc_coldlikesymptoms,object,557901,2585,3
cc_confusion,object,557901,2585,2
cc_conjunctivitis,object,557901,2585,3
cc_constipation,object,557901,2585,2
cc_cough,object,557901,2585,3
cc_cyst,object,557901,2585,3
cc_decreasedbloodsugar-symptomatic,object,557901,2585,2
cc_dehydration,object,557901,2585,3
cc_dentalpain,object,557901,2585,2
cc_depression,object,557901,2585,3
cc_detoxevaluation,object,557901,2585,3
cc_diarrhea,object,557901,2585,3
cc_dizziness,object,557901,2585,3
cc_drug/alcoholassessment,object,557901,2585,2
cc_drugproblem,object,557901,2585,2
cc_dyspnea,object,557901,2585,2
cc_dysuria,object,557901,2585,2
cc_earpain,object,557901,2585,2
cc_earproblem,object,557901,2585,2
cc_edema,object,557901,2585,2
cc_elbowpain,object,557901,2585,2
cc_elevatedbloodsugar-nosymptoms,object,557901,2585,3
cc_elevatedbloodsugar-symptomatic,object,557901,2585,2
cc_emesis,object,557901,2585,3
cc_epigastricpain,object,557901,2585,2
cc_epistaxis,object,557901,2585,3
cc_exposuretostd,object,557901,2585,2
cc_extremitylaceration,object,557901,2585,3
cc_extremityweakness,object,557901,2585,2
cc_eyeinjury,object,557901,2585,2
cc_eyepain,object,557901,2585,3
cc_eyeproblem,object,557901,2585,3
cc_eyeredness,object,557901,2585,2
cc_facialinjury,object,557901,2585,2
cc_faciallaceration,object,557901,2585,2
cc_facialpain,object,557901,2585,2
cc_facialswelling,object,557901,2585,3
cc_fall,object,557901,2585,3
cc_fall>65,object,557901,2585,3
cc_fatigue,object,557901,2585,3
cc_femaleguproblem,object,557901,2585,3
cc_fever,object,557901,2585,2
cc_fever-75yearsorolder,object,557901,2585,2
cc_fever-9weeksto74years,object,557901,2585,2
cc_feverimmunocompromised,object,557901,2585,2
cc_fingerinjury,object,557901,2585,3
cc_fingerpain,object,557901,2585,2
cc_fingerswelling,object,557901,2585,2
cc_flankpain,object,557901,2585,2
cc_follow-upcellulitis,object,557901,2585,2
cc_footinjury,object,557901,2585,2
cc_footpain,object,557901,2585,2
cc_footswelling,object,557901,2585,3
cc_foreignbodyineye,object,557901,2585,2
cc_fulltrauma,object,557901,2585,2
cc_generalizedbodyaches,object,557901,2585,2
cc_gibleeding,object,557901,2585,2
cc_giproblem,object,557901,2585,2
cc_groinpain,object,557901,2585,2
cc_hallucinations,object,557901,2585,2
cc_handinjury,object,557901,2585,3
cc_handpain,object,557901,2585,2
cc_headache,object,557901,2585,2
cc_headache-newonsetornewsymptoms,object,557901,2585,3
cc_headache-recurrentorknowndxmigraines,object,557901,2585,3
cc_headachere-evaluation,object,557901,2585,2
cc_headinjury,object,557901,2585,3
cc_headlaceration,object,557901,2585,2
cc_hematuria,object,557901,2585,2
cc_hemoptysis,object,557901,2585,2
cc_hippain,object,557901,2585,3
cc_homicidal,object,557901,2585,2
cc_hyperglycemia,object,557901,2585,2
cc_hypertension,object,557901,2585,2
cc_hypotension,object,557901,2585,2
cc_influenza,object,557901,2585,2
cc_ingestion,object,557901,2585,2
cc_insectbite,object,557901,2585,2
cc_irregularheartbeat,object,557901,2585,3
cc_jawpain,object,557901,2585,2
cc_jointswelling,object,557901,2585,2
cc_kneeinjury,object,557901,2585,2
cc_kneepain,object,557901,2585,2
cc_laceration,object,557901,2585,2
cc_leginjury,object,557901,2585,2
cc_legpain,object,557901,2585,3
cc_legswelling,object,557901,2585,3
cc_lethargy,object,557901,2585,2
cc_lossofconsciousness,object,557901,2585,2
cc_maleguproblem,object,557901,2585,3
cc_mass,object,557901,2585,2
cc_medicalproblem,object,557901,2585,4
cc_medicalscreening,object,557901,2585,3
cc_medicationproblem,object,557901,2585,2
cc_medicationrefill,object,557901,2585,3
cc_migraine,object,557901,2585,2
cc_modifiedtrauma,object,557901,2585,2
cc_motorcyclecrash,object,557901,2585,2
cc_motorvehiclecrash,object,557901,2585,3
cc_multiplefalls,object,557901,2585,3
cc_nasalcongestion,object,557901,2585,2
cc_nausea,object,557901,2585,3
cc_nearsyncope,object,557901,2585,2
cc_neckpain,object,557901,2585,3
cc_neurologicproblem,object,557901,2585,3
cc_numbness,object,557901,2585,3
cc_oralswelling,object,557901,2585,2
cc_otalgia,object,557901,2585,2
cc_other,object,557901,2585,4
cc_overdose-accidental,object,557901,2585,2
cc_overdose-intentional,object,557901,2585,2
cc_pain,object,557901,2585,2
cc_palpitations,object,557901,2585,3
cc_panicattack,object,557901,2585,3
cc_pelvicpain,object,557901,2585,2
cc_poisoning,object,557901,2585,3
cc_post-opproblem,object,557901,2585,3
cc_psychiatricevaluation,object,557901,2585,3
cc_psychoticsymptoms,object,557901,2585,2
cc_rapidheartrate,object,557901,2585,2
cc_rash,object,557901,2585,2
cc_rectalbleeding,object,557901,2585,2
cc_rectalpain,object,557901,2585,2
cc_respiratorydistress,object,557901,2585,2
cc_ribinjury,object,557901,2585,2
cc_ribpain,object,557901,2585,3
cc_seizure-newonset,object,557901,2585,2
cc_seizure-priorhxof,object,557901,2585,3
cc_seizures,object,557901,2585,2
cc_shortnessofbreath,object,557901,2585,3
cc_shoulderinjury,object,557901,2585,2
cc_shoulderpain,object,557901,2585,3
cc_sicklecellpain,object,557901,2585,2
cc_sinusproblem,object,557901,2585,2
cc_skinirritation,object,557901,2585,2
cc_skinproblem,object,557901,2585,2
cc_sorethroat,object,557901,2585,3
cc_stdcheck,object,557901,2585,2
cc_strokealert,object,557901,2585,2
cc_suicidal,object,557901,2585,3
cc_suture/stapleremoval,object,557901,2585,2
cc_swallowedforeignbody,object,557901,2585,2
cc_syncope,object,557901,2585,3
cc_tachycardia,object,557901,2585,2
cc_testiclepain,object,557901,2585,2
cc_thumbinjury,object,557901,2585,2
cc_tickremoval,object,557901,2585,2
cc_toeinjury,object,557901,2585,2
cc_toepain,object,557901,2585,3
cc_trauma,object,557901,2585,2
cc_unresponsive,object,557901,2585,3
cc_uri,object,557901,2585,3
cc_urinaryfrequency,object,557901,2585,2
cc_urinaryretention,object,557901,2585,2
cc_urinarytractinfection,object,557901,2585,2
cc_vaginalbleeding,object,557901,2585,2
cc_vaginaldischarge,object,557901,2585,2
cc_vaginalpain,object,557901,2585,3
cc_weakness,object,557901,2585,2
cc_wheezing,object,557901,2585,3
cc_withdrawal-alcohol,object,557901,2585,2
cc_woundcheck,object,557901,2585,2
cc_woundinfection,object,557901,2585,2
cc_woundre-evaluation,object,557901,2585,2
cc_wristinjury,object,557901,2585,2
cc_wristpain,object,557901,2585,3
