column,dtype,non_null,missing,n_unique
osteoarthros,float64,560486,0,2
osteoporosis,float64,560486,0,2
otacqdefor,float64,560486,0,2
otaftercare,float64,560486,0,2
otbnignneo,float64,560486,0,2
otbonedx,float64,560486,0,2
otcirculdx,float64,560486,0,2
otcomplbir,float64,560486,0,2
otconganom,float64,560486,0,2
otconntiss,float64,560486,0,2
otdxbladdr,float64,560486,0,2
otdxkidney,float64,560486,0,2
otdxstomch,float64,560486,0,2
otendodsor,float64,560486,0,2
otfemalgen,float64,560486,0,2
othbactinf,float64,560486,0,2
othcnsinfx,float64,560486,0,2
othematldx,float64,560486,0,2
othercvd,float64,560486,0,2
othereardx,float64,560486,0,2
otheredcns,float64,560486,0,2
othereyedx,float64,560486,0,2
othergidx,float64,560486,0,2
othergudx,float64,560486,0,2
otherinjury,float64,560486,0,2
otherpregnancyanddeliveryincludingnormal,float64,560486,0,2
otherscreen,float64,560486,0,2
othfracture,float64,560486,0,2
othheartdx,float64,560486,0,2
othinfectns,float64,560486,0,2
othliverdx,float64,560486,0,2
othlowresp,float64,560486,0,2
othmalegen,float64,560486,0,2
othnervdx,float64,560486,0,2
othskindx,float64,560486,0,2
othveindx,float64,560486,0,2
otinflskin,float64,560486,0,2
otitismedia,float64,560486,0,2
otjointdx,float64,560486,0,2
otnutritdx,float64,560486,0,2
otperintdx,float64,560486,0,2
otpregcomp,float64,560486,0,2
otprimryca,float64,560486,0,2
otrespirca,float64,560486,0,2
otupprresp,float64,560486,0,2
otuprspin,float64,560486,0,2
ovariancyst,float64,560486,0,2
ovarycancer,float64,560486,0,2
pancreascan,float64,560486,0,2
pancreasdx,float64,560486,0,2
paralysis,float64,560486,0,2
parkinsons,float64,560486,0,2
pathologfx,float64,560486,0,2
pelvicobstr,float64,560486,0,2
perintjaund,float64,560486,0,2
peripathero,float64,560486,0,2
peritonitis,float64,560486,0,2
personalitydisorders,float64,560486,0,2
phlebitis,float64,560486,0,2
pid,float64,560486,0,2
pleurisy,float64,560486,0,2
pneumonia,float64,560486,0,2
poisnnonmed,float64,560486,0,2
poisnotmed,float64,560486,0,2
poisonpsych,float64,560486,0,2
precereoccl,float64,560486,0,2
prevcsectn,float64,560486,0,2
prolapse,float64,560486,0,2
prostatecan,float64,560486,0,2
pulmhartdx,float64,560486,0,2
rctmanusca,float64,560486,0,2
rehab,float64,560486,0,2
respdistres,float64,560486,0,2
retinaldx,float64,560486,0,2
rheumarth,float64,560486,0,2
